ID,ISSN,Impact Factor,5-year Impact Factor,Title,Title20,ISO Abbreviation,JIF Without Self-Citations,Average JIF Percentile,Best JIF Category,Best JIF Percentile,Best JIF Quartile,Best JIF Rank,Best JIF Rank (Text),Journal Citation Indicator,Best JCI Category,Best JCI Percentile,Best JCI Quartile,Best JCI Rank,Best JCI Rank (Text),Article Citation Median,Articles,Reviews,Other,Times Cited,Unlinked Citations,Article Influence Score,Eigenfactor Score,Normalized Eigenfactor,Immediacy Index,Total Cites,Citable Items,Cited Half-Life,Citing Half-Life,Publication Source Country/Region,Publisher,WoS Categories
xxxx_xxxx,1234-5678,3.9,3.7,Journal of Overdue Theories,JOT,xxxxxx,11,22,Library Anxiety Studies,33,Q4,44/555,44/555,666,Library Anxiety Studies,77,Q4,44/555,44/555,8,9,1,22,3,4,5,6,7,8,9,1,2,3,USA,Late Press,xxxxxxx
xxxx_xxxx,8765-4321,3.9,3.7,Journal of Overdue Theories,JOT,xxxxxx,11,22,Library Anxiety Studies,33,Q1,44/556,44/556,666,Library Anxiety Studies,77,Q1,44/556,44/556,8,9,1,22,3,4,5,6,7,8,9,1,2,3,USA,Late Press,xxxxxxx
xxxx_xxxx,2345-6789,16.5,26.9,Catalogue Confessions,CATCONF,xxxxxx,11,22,Cataloguing Philosophy,33,Q2,44/557,44/557,666,Cataloguing Philosophy,77,Q2,44/557,44/557,8,9,1,22,3,4,5,6,7,8,9,1,2,3,GERMANY (FED REP GER),Metadata House,xxxxxxx
xxxx_xxxx,9876-5432,16.5,26.9,Catalogue Confessions,CATCONF,xxxxxx,11,22,Cataloguing Philosophy,33,Q3,44/558,44/558,666,Cataloguing Philosophy,77,Q3,44/558,44/558,8,9,1,22,3,4,5,6,7,8,9,1,2,3,GERMANY (FED REP GER),Metadata House,xxxxxxx
xxxx_xxxx,3456-7890,2.8,1.9,The Shush Quarterly,SHUSH,xxxxxx,11,22,Acoustic Librarianship,33,Q4,44/559,44/559,666,Acoustic Librarianship,77,Q4,44/559,44/559,8,9,1,22,3,4,5,6,7,8,9,1,2,3,MALAYSIA,Quietude Publishing,xxxxxxx
xxxx_xxxx,0987-6543,2.8,1.9,The Shush Quarterly,SHUSH,xxxxxx,11,22,Acoustic Librarianship,33,Q1,44/560,44/560,666,Acoustic Librarianship,77,Q1,44/560,44/560,8,9,1,22,3,4,5,6,7,8,9,1,2,3,MALAYSIA,Quietude Publishing,xxxxxxx
xxxx_xxxx,4567-8901,0.4,1.2,Interlibrary Loan Shark Review,ILLSR,xxxxxx,11,22,Loan Negotiation Tactics,33,Q2,44/561,44/561,666,Loan Negotiation Tactics,77,Q2,44/561,44/561,8,9,1,22,3,4,5,6,7,8,9,1,2,3,AUSTRALIA,Circulation Syndicate,xxxxxxx
xxxx_xxxx,1098-7654,0.4,1.2,Interlibrary Loan Shark Review,ILLSR,xxxxxx,11,22,Loan Negotiation Tactics,33,Q3,44/562,44/562,666,Loan Negotiation Tactics,77,Q3,44/562,44/562,8,9,1,22,3,4,5,6,7,8,9,1,2,3,AUSTRALIA,Circulation Syndicate,xxxxxxx
xxxx_xxxx,5678-9012,3.5,4,Open Access and Existential Dread,OAED,xxxxxx,11,22,Open Access Ontology,33,Q4,44/563,44/563,666,Open Access Ontology,77,Q4,44/563,44/563,8,9,1,22,3,4,5,6,7,8,9,1,2,3,SPAIN,Freedom Press,xxxxxxx
xxxx_xxxx,2109-8765,3.5,4,Open Access and Existential Dread,OAED,xxxxxx,11,22,Open Access Ontology,33,Q1,44/564,44/564,666,Open Access Ontology,77,Q1,44/564,44/564,8,9,1,22,3,4,5,6,7,8,9,1,2,3,SPAIN,Freedom Press,xxxxxxx
